Test File,Tdb_in (°C),Twb_in(°C),RH_in (%),Tdb_out(°C),Q_dot_air (CFM),delta_P_nozzle (in W.G.),P_in_nozzle (in W.G.),P_atm (psi),T_w_in (°C),P_w_in (PSIG),T_w_out (°C),dp_w (in W.G.),m_w (kg/h),T_exv_in (°C),P_exv_in (PSIG),T_evap_in(°C),T_evap_out(°C),P_evap_out (PSIG),m_r (kg/hr_),Q_a (kW),un_Q_a (kW),Q_a_sens (kW),un_Q_a_sens (kW),Q_w (kW),un_Q_w (kW),Q_r (kW),un_Q_r (kW),air-water  (%),air-refr (%),water-refr (%),air+water - refr (%),Compressor Speed (RPM)
CH1,21.89880556,18.64718889,17.37226667,18.6413,166.6414038,0.008427778,0.00045956,14.36863889,29.86889444,21.91021667,23.36975,-21.99772778,1768.732417,25.7259,252.5731611,11.76395,14.11833889,141.3625667,263.3515111,1.579453184,0.772017013,0.292803094,0.146927381,-13.35093996,0.268145461,13.77592411,0.03321924,-191.4157547,-191.6750651,-3.133308367,-0.964133197,3725
CH2,23.60707643,18.34161146,22.37796178,13.89061146,183.3220414,0.010070064,0.000351413,14.28911465,23.83894904,20.88370064,18.01694268,-21.9851465,1777.66835,25.51963057,261.2701401,7.599292994,10.56257962,120.9331465,240.504051,1.70271148,0.733078649,0.958369139,0.413796294,-12.02846038,0.241969278,12.59894686,0.034790329,-170.4818135,-171.7239271,-4.632939833,3.03201789,3725
CH3,20.49612821,17.31373077,19.13158333,16.06312821,172.9271016,0.009121795,0.000770189,14.3735641,29.85641026,20.7151859,19.74739103,-22.38105128,1060.200878,24.36903846,243.7543333,9.492173077,12.33397436,130.6784808,241.7650385,1.292013955,0.589839332,0.417541149,0.193497252,-12.44943382,0.146903258,12.79978543,0.028527928,-187.0197572,-187.3638244,-2.775148056,0.523552945,3725
CH5,22.34175,18.6404375,23.93117708,20.38275,159.4153619,0.007697917,0.002283311,14.3318125,27.89461458,21.23540625,23.50601042,-21.99747917,1766.289219,25.18284375,255.7425625,13.4679375,19.80003125,159.6779792,172.8134583,0.74714895,0.376225902,0.166599438,0.089563968,-9.004332098,0.250608995,9.239867942,0.028729541,-192.7335871,-192.9155364,-2.582035307,-0.748869217,2040
CH6,23.59709779,18.70954574,23.15543849,17.79832808,159.7893125,0.007690852,0.000847683,14.29952681,23.88588644,20.65929968,19.96607256,-21.98907886,1773.321297,25.56577918,258.4695741,11.05767823,16.91220189,146.054858,157.7784196,0.67247645,0.341111327,0.497325501,0.253011884,-8.078235136,0.301716894,8.369885583,0.024281618,-176.8026595,-177.5656406,-3.546307236,2.427496457,2040
CH7,23.14235669,19.24807006,23.45538535,20.32522611,165.6527833,0.008261146,0.001469636,14.31109554,27.86753503,18.43209873,20.96299363,-22.36399045,1065.748529,25.42575159,256.2422739,12.09364331,17.78241083,151.5105987,164.1062866,0.943427426,0.460081258,0.249100659,0.133331614,-8.548247002,0.154721522,8.71617601,0.026601174,-188.6738291,-188.8859801,-1.94537643,0.926959669,2040
CH8,23.43475,18.61701056,23.24738028,16.80531338,160.8283333,0.007795775,0.002078207,14.30312676,23.84322183,18.26889437,17.65060915,-22.35327817,1070.113556,25.50936972,256.5471268,9.620471831,15.04298944,138.378669,149.7788768,0.545184139,0.290097288,0.57320891,0.287888168,-7.702034788,0.166677433,7.919162312,0.026679505,-172.2928324,-173.0012316,-2.779908896,4.397585021,2040
CH9,22.70925157,19.01962893,23.70157862,24.43315094,158.3383792,0.007578616,0.002137811,14.32250943,33.9021761,21.81316352,28.83215723,-21.99361006,1763.239736,25.63841509,262.5377862,17.17820755,24.51198742,182.0148491,195.9894214,0.859791876,0.440344506,0.150904034,0.083448722,-10.38046589,0.238440259,10.52578827,0.034638882,-194.2683987,-194.3464126,-1.39022876,0.053014324,2040
CH10,22.92705455,19.3434,23.57977273,23.24149091,157.6148105,0.0075,0.002036619,14.31902727,33.81799091,18.85107273,25.88889545,-22.37158636,1062.332855,25.56995,260.8507727,15.52790909,22.58808182,171.3933409,184.3002545,0.900138744,0.46574565,0.029797393,0.035304435,-9.781012745,0.185965019,9.882268621,0.027706928,-198.78512,-198.7975305,-1.029898054,-0.725721804,2040
CH11,21.51375163,18.20307843,17.86701961,22.08651634,168.1814991,0.008594771,0.002133154,14.36456863,34.8560915,22.24999346,27.66023529,-22.00275817,1770.313163,25.88286275,253.9785098,14.33813725,17.75071895,155.3743268,287.4514706,1.53772232,0.736234382,0.055826058,0.043341402,-14.79118945,0.245306393,15.14330238,0.035425218,-198.4959655,-198.530809,-2.352556598,-1.975883511,3725
CH12,21.06702326,17.86572868,18.35022481,19.50182171,171.4211657,0.008945736,0.001871068,14.37622481,34.8338062,21.36482171,23.62088372,-22.3929845,1054.840116,25.17037209,249.715093,12.15348062,15.62068992,143.7172093,265.2592791,1.482892212,0.686209533,0.143655515,0.075011556,-13.73425863,0.144947708,14.04014361,0.033705346,-195.8594494,-195.9487437,-2.202639498,-1.162183013,3725
CH13,22.70382329,17.6027751,20.58323293,14.90112048,160.469451,0.007694779,-0.000650139,14.12251807,18.46720482,19.55509639,13.34125301,-21.99838956,1784.754233,24.92362651,254.3915984,4.010730924,7.108674699,104.5559116,210.8148474,1.271570316,0.637569111,0.667685267,0.335977647,-10.64332985,0.246229632,11.06646624,0.029709222,-176.3881399,-177.2395894,-3.898114816,2.185669371,3725
CH14,23.0077251,17.64448606,20.18202789,14.69106773,159.9385943,0.007641434,-0.00065602,14.12808367,17.13060558,19.55841434,12.18748606,-21.99103984,1784.483578,25.12682072,255.2190319,3.211326693,6.362908367,101.2530319,204.072745,1.243414039,0.628382724,0.709145675,0.35931018,-10.26546476,0.256185017,10.68388991,0.026750179,-174.1532265,-175.1024854,-3.994635241,2.684585893,3725
CH15,23.43783651,17.69948229,19.47031063,14.09083379,157.4915542,0.007408719,0.000241329,14.13517166,14.98640872,19.51231608,10.3019673,-21.98273569,1784.280572,25.439703,256.1982643,2.077149864,4.619051771,96.50268392,195.6325722,1.203350623,0.627502476,0.784567931,0.40974424,-9.73296052,0.241007849,10.16272477,0.027322447,-170.1615095,-171.3328966,-4.320175419,3.431328177,3725
